	Oke_APOB-60	Oke_ccd16-77	Oke_CO1A1-72	Oke_DBLOH-79	Oke_FANK1-96	Oke_gdh1-62	Oke_hmgb1-66	Oke_HP-182	Oke_hsc71-199	Oke_lactb2-71	Oke_mgll-49	Oke_nc2b-148	Oke_NHERF-123	Oke_NHERF-54	Oke_NUPR1-70	Oke_PDIA3-82	Oke_pnrc2-78	Oke_sylc-90	Oke_TCP1-78	Oke_TCTA-99	Oke_thic-84	Oke_txnrd1-74	Oke_u0602-244	Oke_U1008-83	Oke_U1012-241	Oke_U1012-60	Oke_U1016-154	Oke_U1021-102	Oke_U1027-89	Oke_U2001-629	Oke_U2005-62	Oke_U2020-51	Oke_U2024-93	Oke_U2034-55	Oke_U2037-76	Oke_U2040-77	Oke_U2042-61	Oke_U2045-43	Oke_U2048-91	Oke_U2054-58	Oke_u217-172	Oke_U305-130	Oke_U504-228	Oke_U505-112	Oke_U507-87	Oke_U510-204	Oke_zn593-152	
CMUW10X08H_0277	YY	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	YY	YY	YY	XX	YY	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	XX	No Call	YY	YY	YY	YY	YY	YY
CMUW10X08H_0280	YY	XX	YY	XX	YY	XX	XX	XX	XX	YY	XX	YY	YY	XX	XX	No Call	YY	YY	YY	YY	YY	XX	XX	XX	YY	XX	YY	XX	No Call	No Call	YY	YY	XX	XX	XX	XX	XX	XX	XX	XX	YY	No Call	XX	YY	YY	YY	YY	YX
CMUW10X08H_0282	XX	XX	YY	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	XX	XX	XX	YY	YY	XX	XX	XX	YY	XX	YY	XX	No Call	No Call	YY	YY	XX	YY	XX	XX	YY	XX	XX	XX	XX	No Call	YY	XX	YY	YY	YY	No Call
CMUW10X08H_0271	XX	XX	YY	YY	XX	XX	YY	YY	YY	XX	YY	YY	YY	XX	YY	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	YY	YY	YY	No Call	No Call	YY	XX	YY	XX	YY	YY	YY	XX	XX	XX	XX	No Call	XX	YY	YY	YY	XX	YX
CMUW10X08H_0273	YY	YY	XX	XX	YY	YY	XX	YY	XX	XX	XX	XX	YY	XX	XX	YY	YY	YY	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	XX	XX	XX	XX	XX	XX	YY	YY	No Call	YY	XX	YY	YY	XX	YX
CMUW10X08H_0276	YY	YY	YY	YY	YY	YY	YY	XX	YY	YY	XX	YY	YY	XX	XX	XX	XX	XX	XX	YY	XX	XX	YY	YY	YY	XX	YY	XX	No Call	No Call	YY	YY	YY	YY	YY	XX	XX	YY	YY	XX	XX	No Call	XX	YY	XX	XX	YY	YY
CMUW10X08H_0278	XX	XX	XX	XX	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	YY	No Call	No Call	XX	YY	XX	YY	YY	YY	YY	YY	XX	XX	YY	No Call	XX	YY	XX	XX	YY	YY
CMUW10X08H_0281	YY	YY	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	YY	YY	YY	XX	YY	YY	XX	YY	YX	No Call	No Call	YY	XX	YY	XX	XX	XX	XX	XX	YY	XX	No Call	No Call	YY	YY	YY	XX	YY	YY
CMUW10X08H_0283	YY	YY	XX	YY	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	YY	YY	XX	YY	YY	YY	XX	XX	YY	XX	YY	XX	YY	YY	No Call	No Call	YY	XX	XX	No Call	YY	YY	XX	XX	YY	XX	XX	No Call	XX	YY	YY	YY	YY	YY
CMUW10X08H_0284	YY	YY	YY	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	YY	YY	YY	XX	XX	XX	YY	XX	YY	YY	YY	YY	XX	XX	YY	No Call	No Call	XX	XX	YY	YY	YY	YY	XX	YY	YY	YY	YY	No Call	YY	YY	XX	YY	XX	YX
CMUW10X08H_0286	YY	XX	YY	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	YY	YY	No Call	No Call	XX	YY	YY	YY	YY	YY	XX	YY	XX	XX	YY	No Call	XX	XX	XX	XX	XX	YX
CMUW10X08H_0182	YY	YY	XX	YY	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	YY	YY	XX	XX	XX	YY	YY	XX	No Call	XX	YY	YY	YY	XX	YX
CMUW10X08H_0184	YY	YY	XX	YY	YY	XX	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	XX	XX	XX	YY	XX	YY	YY	XX	XX	YY	XX	YY	No Call	No Call	YY	XX	YY	XX	XX	XX	XX	XX	YY	YY	XX	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0186	YY	XX	XX	YY	YY	YY	YY	YY	YY	XX	XX	XX	YY	XX	YY	No Call	XX	XX	YY	YY	YY	XX	YY	XX	YY	XX	YY	YY	No Call	No Call	YY	YY	YY	YY	YY	YY	XX	XX	XX	XX	YY	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0189	YY	YY	XX	YY	YY	XX	YY	XX	XX	XX	XX	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	YY	YY	YY	YY	XX	YY	XX	No Call	No Call	XX	XX	YY	XX	YY	XX	XX	YY	YY	XX	XX	No Call	YY	YY	YY	YY	XX	YY
CMUW10X08H_0285	YY	YY	YY	YY	XX	YY	YY	YY	XX	XX	YY	XX	YY	XX	YY	YY	XX	YY	YY	YY	XX	XX	YY	XX	XX	YY	YY	YY	No Call	No Call	YY	XX	YY	YY	YY	XX	XX	XX	YY	XX	YY	No Call	YY	YY	YY	YY	XX	YX
CMUW10X08H_0287	YY	YY	YY	XX	YY	XX	XX	XX	YY	XX	XX	YY	XX	YY	YY	XX	XX	XX	XX	YY	YY	YY	XX	XX	XX	YY	YY	XX	No Call	No Call	YY	YY	YY	YY	XX	YY	XX	XX	XX	XX	XX	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0183	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid	Invalid
CMUW10X08H_0185	YY	YY	XX	YY	XX	XX	YY	XX	XX	XX	XX	XX	YY	XX	XX	No Call	XX	YY	XX	YY	XX	XX	YY	YY	YY	XX	XX	YY	No Call	No Call	XX	XX	XX	YY	YY	XX	XX	XX	YY	YY	XX	No Call	YY	XX	XX	YY	YY	YY
CMUW10X08H_0187	YY	YY	YY	XX	XX	YY	XX	YY	XX	XX	XX	YY	XX	YY	YY	YY	YY	YY	XX	YY	YY	YY	XX	XX	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	YY	XX	YY	XX	XX	YY	YY	XX	No Call	YY	XX	YY	XX	YY	YY
